date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:44	1593/1593	---M--	404	error ('Not%20Found')	text/html	etag:%227ecfc3ae152800be0d76bb0a89465524%22	https://keras.io/robots.txt		(from )
09:14:44	20970/20970	---M--	200	added ('OK')	text/html	etag:%220969ed8a747d445315e5e8e4ebb70194%22	https://keras.io/	docs/keras.io/keras.io/index.html	(from )
09:14:45	3301/3301	---M--	200	added ('OK')	image/x-icon	etag:%22c573e2b931c79caefd095d0b03f9c3fc%22	https://keras.io/img/favicon.ico	docs/keras.io/keras.io/img/favicon.ico	(from https://keras.io/)
09:14:46	88973/88973	---M--	200	added ('OK')	text/css	etag:%22211a9b329150f14ebf633c91881dabb5%22	https://keras.io/css/theme.css	docs/keras.io/keras.io/css/theme.css	(from https://keras.io/)
09:14:47	2744/2744	---M--	200	added ('OK')	text/css	etag:%22c8be01960663294d25b51dd99cbec97e%22	https://keras.io/css/theme_extra.css	docs/keras.io/keras.io/css/theme_extra.css	(from https://keras.io/)
09:14:48	1682/1682	---M--	200	added ('OK')	text/css	etag:%22e0e4d973c6d7833a91f6ce8f7a8edb56%22	https://keras.io/css/highlight.css	docs/keras.io/keras.io/css/highlight.css	(from https://keras.io/)
09:14:49	84245/84245	---M--	200	added ('OK')	application/javascript	etag:%22e40ec2161fe7993196f23c8a07346306%22	https://keras.io/js/jquery-2.1.1.min.js	docs/keras.io/keras.io/js/jquery-2.1.1.min.js	(from https://keras.io/)
09:14:50	11084/11084	---M--	200	added ('OK')	application/javascript	etag:%2265f1d21d5fcc9d21da758adababd0c3c%22	https://keras.io/js/modernizr-2.8.3.min.js	docs/keras.io/keras.io/js/modernizr-2.8.3.min.js	(from https://keras.io/)
09:14:52	300764/300764	---M--	200	added ('OK')	application/javascript	etag:%22479b5f21dcba4eb5cc16d2d0e0a6ae7d%22	https://keras.io/js/highlight.pack.js	docs/keras.io/keras.io/js/highlight.pack.js	(from https://keras.io/)
09:14:52	1751/1751	---M--	200	added ('OK')	application/javascript	etag:%2251055f14a5a41e4851d9bc18b416944f%22	https://keras.io/js/theme.js	docs/keras.io/keras.io/js/theme.js	(from https://keras.io/)
09:14:54	1593/1593	---M--	404	error ('Not%20Found')	text/html	etag:%227ecfc3ae152800be0d76bb0a89465524%22	https://keras.io/.	docs/keras.io/keras.io/	(from https://keras.io/)
09:14:54	35104/35104	---M--	200	added ('OK')	image/jpeg	etag:%22bd63c54ed2a830db889273ecdfb49b28%22	https://keras.io/img/keras-logo-small-2018.jpg	docs/keras.io/keras.io/img/keras-logo-small-2018.jpg	(from https://keras.io/)
09:14:55	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2012%20Jun%202018%2018:00:39%20GMT	https://keras.io/getting-started/sequential-model-guide	docs/keras.io/keras.io/getting-started/sequential-model-guide	(from https://keras.io/)
09:14:59	26140/26140	---M--	200	added ('OK')	text/html	etag:%22886517c1464d7c221cd4dac9458ede11%22	https://keras.io/getting-started/sequential-model-guide/	docs/keras.io/keras.io/getting-started/sequential-model-guide/index.html	(from https://keras.io/)
09:14:59	18577/18577	---M--	200	added ('OK')	text/html	etag:%22d1a948775083acf61c6ef764b4cec1f5%22	https://keras.io/why-use-keras/	docs/keras.io/keras.io/why-use-keras/index.html	(from https://keras.io/)
09:14:59	30100/30100	---M--	200	added ('OK')	text/html	etag:%22103ed0e4efd7e09d0ac3f97800fc267e%22	https://keras.io/getting-started/functional-api-guide/	docs/keras.io/keras.io/getting-started/functional-api-guide/index.html	(from https://keras.io/)
09:14:59	43241/43241	---M--	200	added ('OK')	text/html	etag:%225ad54b481bb2a35347f2ec06823c06da%22	https://keras.io/getting-started/faq/	docs/keras.io/keras.io/getting-started/faq/index.html	(from https://keras.io/)
09:15:00	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2012%20Jun%202018%2020:05:10%20GMT	https://keras.io/getting-started/functional-api-guide	docs/keras.io/keras.io/getting-started/functional-api-guide	(from https://keras.io/)
09:15:01	38517/38517	---M--	200	added ('OK')	text/html	etag:%22674b5fa4d5a8c689700fe9e6016d7b1d%22	https://keras.io/models/model/	docs/keras.io/keras.io/models/model/index.html	(from https://keras.io/)
09:15:01	16430/16430	---M--	200	added ('OK')	text/html	etag:%2288f1c92583822a58236b3a96ffa506cb%22	https://keras.io/models/about-keras-models/	docs/keras.io/keras.io/models/about-keras-models/index.html	(from https://keras.io/)
09:15:01	37926/37926	---M--	200	added ('OK')	text/html	etag:%2284d265a27430cc95903db531dd537f92%22	https://keras.io/models/sequential/	docs/keras.io/keras.io/models/sequential/index.html	(from https://keras.io/)
09:15:01	12392/12392	---M--	200	added ('OK')	text/html	etag:%22c97a75e9b727be06d28c5e55a96be360%22	https://keras.io/layers/about-keras-layers/	docs/keras.io/keras.io/layers/about-keras-layers/index.html	(from https://keras.io/)
09:15:02	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2012%20Jun%202018%2018:00:39%20GMT	https://keras.io/getting-started/sequential-model-guide	docs/keras.io/keras.io/getting-started/sequential-model-guide	(from https://keras.io/)
09:15:03	29026/29026	---M--	200	added ('OK')	text/html	etag:%228ce7d7db743a7b7933d6630c8327944f%22	https://keras.io/layers/core/	docs/keras.io/keras.io/layers/core/index.html	(from https://keras.io/)
09:15:03	19360/19360	---M--	200	added ('OK')	text/html	etag:%2250e5b9799b759d614a3b1186b512893d%22	https://keras.io/layers/local/	docs/keras.io/keras.io/layers/local/index.html	(from https://keras.io/)
09:15:03	60924/60924	---M--	200	added ('OK')	text/html	etag:%22ffa0791eb682a048f9c50296717247ec%22	https://keras.io/layers/convolutional/	docs/keras.io/keras.io/layers/convolutional/index.html	(from https://keras.io/)
09:15:03	26609/26609	---M--	200	added ('OK')	text/html	etag:%22944716d5fc2ff8ca6ce3d736cde8f077%22	https://keras.io/layers/pooling/	docs/keras.io/keras.io/layers/pooling/index.html	(from https://keras.io/)
09:15:04	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2012%20Jun%202018%2020:05:10%20GMT	https://keras.io/getting-started/functional-api-guide	docs/keras.io/keras.io/getting-started/functional-api-guide	(from https://keras.io/)
09:15:05	21280/21280	---M--	200	added ('OK')	text/html	etag:%22545fcd4ada996ea8152c4bbfcdcb5058%22	https://keras.io/layers/merge/	docs/keras.io/keras.io/layers/merge/index.html	(from https://keras.io/)
09:15:05	17404/17404	---M--	200	added ('OK')	text/html	etag:%22c120a54b2da867ec7432836d01860b82%22	https://keras.io/layers/advanced-activations/	docs/keras.io/keras.io/layers/advanced-activations/index.html	(from https://keras.io/)
09:15:05	60306/60306	---M--	200	added ('OK')	text/html	etag:%22a431f4e3b147b2dfbc70df7c49e289b4%22	https://keras.io/layers/recurrent/	docs/keras.io/keras.io/layers/recurrent/index.html	(from https://keras.io/)
